asset,close
10000000.0,137000
10000000.0,134500
10000000.0,138000
10000000.0,136500
9598500.0,131000
9598500.0,130500
9598500.0,130500
9598500.0,134000
10131000.0,141500
10131000.0,144500
10131000.0,140500
10131000.0,135500
10464000.0,140000
10464000.0,139500
10464000.0,138500
10239000.0,135500
10239000.0,136000
10314000.0,137000
10314000.0,137500
10314000.0,140000
9766500.0,132500
9766500.0,132000
9912500.0,134000
9912500.0,135000
10204500.0,139000
10204500.0,136500
10204500.0,135500
10204500.0,137500
10537500.0,142000
10537500.0,146000
10537500.0,146000
10465500.0,145000
10465500.0,144500
10537500.0,145500
10537500.0,146000
10537500.0,141500
10537500.0,141000
10537500.0,143500
10537500.0,145000
10321500.0,142000
10321500.0,144500
10321500.0,137000
10321500.0,132500
10206000.0,131000
10206000.0,137000
10206000.0,136000
10206000.0,134500
10206000.0,139000
10206000.0,141000
9990000.0,138000
9990000.0,137000
9990000.0,139500
9564000.0,133500
9564000.0,134000
9848000.0,138000
9848000.0,137000
9848000.0,133500
9848000.0,137000
10061000.0,140000
10061000.0,143500
10061000.0,145000
9992000.0,144000
9992000.0,149000
10193000.0,152000
10193000.0,150500
10059000.0,148500
10059000.0,146500
10059000.0,143000
10059000.0,144000
9576000.0,137000
9576000.0,138000
9507000.0,137000
9507000.0,137500
9472500.0,137000
9472500.0,135000
9472500.0,132000
9472500.0,138000
9574500.0,139500
9574500.0,133500
9716500.0,135500
9716500.0,134500
9716500.0,136000
9858500.0,138000
9858500.0,141000
9893000.0,141500
9893000.0,144000
9893000.0,143000
10169000.0,147000
10169000.0,149500
10101000.0,148500
10101000.0,152000
10035000.0,151000
10035000.0,148000
10504000.0,155000
10504000.0,157000
10504000.0,158000
10108000.0,152000
10108000.0,152000
10108000.0,155500
10108000.0,161500
10108000.0,161500
10108000.0,156500
9820000.0,152000
9820000.0,153000
10076000.0,157000
10076000.0,159000
10076000.0,160500
10045000.0,160000
10045000.0,158000
10171000.0,160000
10171000.0,162500
10171000.0,158500
10395000.0,162000
10395000.0,167500
10147000.0,163500
10147000.0,154000
10147000.0,155000
10472000.0,160000
10472000.0,162500
10472000.0,168000
10472000.0,172000
10472000.0,171500
10441500.0,171000
10441500.0,169000
10441500.0,170000
10441500.0,180500
10612500.0,183500
10612500.0,183000
10755000.0,185500
10755000.0,181000
10725500.0,180500
10725500.0,178500
11175500.0,186000
11175500.0,177500
11175500.0,177000
11144000.0,176500
11144000.0,181000
11144000.0,186000
11262000.0,188000
11262000.0,188000
11262000.0,180500
11262000.0,175000
11262000.0,180000
11262000.0,177500
11262000.0,175000
11326000.0,176000
11326000.0,172500
11748500.0,179000
11748500.0,177500
12177500.0,184000
12177500.0,181000
11976500.0,178000
11976500.0,180000
12273500.0,184500
12273500.0,177000
12446000.0,179500
12446000.0,182000
12480000.0,182500
12480000.0,178000
12480000.0,178000
12480000.0,180500
12480000.0,177500
12760000.0,181500
12760000.0,182500
12760000.0,178500
12334000.0,172500
