Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,121000.0,122000.0,119000.0,120000.0,120000.0,62797
2019-01-02,120000.0,120500.0,118500.0,118500.0,118500.0,57876
2019-01-02,119000.0,119000.0,118000.0,118500.0,118500.0,30750
2019-01-02,118000.0,118500.0,117000.0,117500.0,117500.0,71395
2019-01-02,117500.0,118500.0,117000.0,117500.0,117500.0,70938
2019-01-03,120000.0,122500.0,119500.0,122000.0,122000.0,82291
2019-01-03,122000.0,124500.0,122000.0,124500.0,124500.0,92844
2019-01-03,124500.0,125000.0,124000.0,125000.0,125000.0,59837
2019-01-03,124500.0,125000.0,123500.0,124000.0,124000.0,38717
2019-01-03,124500.0,124500.0,123000.0,124500.0,124500.0,35649
2019-01-03,124500.0,125000.0,121500.0,122000.0,122000.0,119247
2019-01-04,123500.0,125000.0,123000.0,123500.0,123500.0,0
2019-01-04,124000.0,125000.0,122500.0,123500.0,123500.0,50979
2019-01-04,123500.0,125000.0,123000.0,124500.0,124500.0,88045
2019-01-04,124000.0,126000.0,124000.0,125000.0,125000.0,83303
2019-01-04,125000.0,125500.0,124000.0,125500.0,125500.0,44742
2019-01-04,125500.0,125500.0,124500.0,125500.0,125500.0,52824
2019-01-07,128000.0,131500.0,127000.0,129500.0,129500.0,0
2019-01-07,130000.0,132000.0,129500.0,131000.0,131000.0,72108
2019-01-07,131500.0,132000.0,130500.0,131500.0,131500.0,56676
2019-01-07,132000.0,132500.0,131500.0,132000.0,132000.0,58514
2019-01-07,132000.0,132000.0,131000.0,132000.0,132000.0,54894
2019-01-07,132000.0,132000.0,130000.0,131000.0,131000.0,80410
2019-01-08,132000.0,133500.0,129500.0,133500.0,133500.0,70075
2019-01-08,133500.0,134000.0,130500.0,131000.0,131000.0,43774
2019-01-08,130500.0,131000.0,129500.0,130500.0,130500.0,41543
2019-01-08,130000.0,130500.0,130000.0,130500.0,130500.0,29473
2019-01-08,130000.0,130500.0,129500.0,129500.0,129500.0,59320
2019-01-08,130000.0,130500.0,129000.0,130000.0,130000.0,71345
2019-01-09,131000.0,133000.0,130000.0,133000.0,133000.0,0
2019-01-09,133000.0,134000.0,132500.0,134000.0,134000.0,38001
2019-01-09,133500.0,134500.0,133500.0,134500.0,134500.0,34558
2019-01-09,134500.0,134500.0,133500.0,134000.0,134000.0,33648
