Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,244000.0,246000.0,241000.0,241000.0,241000.0,23489
2019-01-02,241500.0,241500.0,239000.0,240000.0,240000.0,27823
2019-01-02,240000.0,240000.0,237500.0,238500.0,238500.0,25781
2019-01-02,239000.0,239000.0,236000.0,237000.0,237000.0,36440
2019-01-02,237000.0,237500.0,236000.0,237000.0,237000.0,32266
2019-01-03,237500.0,237500.0,230500.0,233500.0,233500.0,79476
2019-01-03,234000.0,236000.0,233500.0,235000.0,235000.0,27430
2019-01-03,235000.0,238000.0,235000.0,236000.0,236000.0,21216
2019-01-03,236500.0,237000.0,235500.0,235500.0,235500.0,20050
2019-01-03,235500.0,237500.0,235500.0,237000.0,237000.0,17219
2019-01-03,237500.0,238000.0,236500.0,237500.0,237500.0,32064
2019-01-04,235000.0,236000.0,232500.0,234000.0,234000.0,35534
2019-01-04,234000.0,236000.0,233000.0,235500.0,235500.0,23298
2019-01-04,236000.0,237500.0,235500.0,237500.0,237500.0,24009
2019-01-04,237500.0,238500.0,237000.0,238000.0,238000.0,23553
2019-01-04,238500.0,239000.0,237500.0,239000.0,239000.0,21435
2019-01-04,238500.0,239500.0,237500.0,238000.0,238000.0,44750
2019-01-07,246000.0,250500.0,245500.0,250000.0,250000.0,0
2019-01-07,250000.0,250000.0,247500.0,247500.0,247500.0,29997
2019-01-07,248000.0,248000.0,244000.0,245500.0,245500.0,33943
2019-01-07,245500.0,245500.0,244000.0,245500.0,245500.0,19154
2019-01-07,245500.0,246000.0,244500.0,245500.0,245500.0,19698
2019-01-07,245500.0,246500.0,245000.0,245500.0,245500.0,30255
2019-01-08,248000.0,248500.0,244500.0,245000.0,245000.0,19798
2019-01-08,245500.0,246000.0,244500.0,244500.0,244500.0,13776
2019-01-08,245000.0,245000.0,243500.0,244500.0,244500.0,10264
2019-01-08,244000.0,245000.0,243500.0,244000.0,244000.0,9219
2019-01-08,244000.0,245000.0,244000.0,244500.0,244500.0,12736
2019-01-08,244500.0,246000.0,244500.0,245000.0,245000.0,17011
2019-01-09,246500.0,252500.0,246500.0,251500.0,251500.0,0
2019-01-09,251500.0,253500.0,250500.0,253500.0,253500.0,40485
2019-01-09,253500.0,255500.0,253000.0,255000.0,255000.0,51662
2019-01-09,255000.0,255000.0,254000.0,255000.0,255000.0,31917
2019-01-09,255000.0,255500.0,254000.0,255500.0,255500.0,37793
2019-01-09,255500.0,257500.0,255000.0,257000.0,257000.0,80048
2019-01-10,255500.0,256500.0,250000.0,252000.0,252000.0,58767
2019-01-10,252500.0,253500.0,251500.0,253000.0,253000.0,19296
2019-01-10,253500.0,255500.0,252500.0,255000.0,255000.0,15891
2019-01-10,255000.0,256000.0,254000.0,255500.0,255500.0,13953
2019-01-10,255500.0,257500.0,254500.0,257000.0,257000.0,24536
2019-01-10,257000.0,257000.0,255000.0,256000.0,256000.0,32140
2019-01-11,257000.0,258000.0,255000.0,256000.0,256000.0,53715
2019-01-11,256000.0,256500.0,253000.0,255000.0,255000.0,28731
2019-01-11,255500.0,255500.0,253000.0,253000.0,253000.0,20251
