Datetime,Open,High,Low,Close,Adj Close,Volume
2020-02-18 09:00:00+09:00,220000.0,220000.0,218500.0,218500.0,218500.0,0
2020-02-18 09:05:00+09:00,219000.0,219500.0,219000.0,219000.0,219000.0,757
2020-02-18 09:10:00+09:00,219000.0,219500.0,219000.0,219000.0,219000.0,325
2020-02-18 09:15:00+09:00,219000.0,219000.0,218500.0,219000.0,219000.0,90
2020-02-18 09:20:00+09:00,219000.0,219500.0,218500.0,219500.0,219500.0,1003
2020-02-18 09:25:00+09:00,220000.0,220000.0,219500.0,219500.0,219500.0,256
2020-02-18 09:30:00+09:00,219000.0,220500.0,219000.0,220000.0,220000.0,258
2020-02-18 09:35:00+09:00,220000.0,220000.0,219500.0,220000.0,220000.0,108
2020-02-18 09:40:00+09:00,220000.0,220000.0,219500.0,219500.0,219500.0,170
2020-02-18 09:45:00+09:00,219500.0,220500.0,219500.0,220500.0,220500.0,437
2020-02-18 09:50:00+09:00,220000.0,220500.0,220000.0,220000.0,220000.0,160
2020-02-18 09:55:00+09:00,220000.0,220000.0,219500.0,219500.0,219500.0,350
2020-02-18 10:00:00+09:00,219500.0,220000.0,219500.0,219500.0,219500.0,163
2020-02-18 10:05:00+09:00,220000.0,220000.0,219500.0,220000.0,220000.0,211
2020-02-18 10:10:00+09:00,220000.0,220000.0,219500.0,220000.0,220000.0,204
2020-02-18 10:15:00+09:00,219500.0,220000.0,219500.0,220000.0,220000.0,131
2020-02-18 10:20:00+09:00,220000.0,220000.0,219500.0,220000.0,220000.0,118
2020-02-18 10:25:00+09:00,220000.0,220000.0,219500.0,220000.0,220000.0,97
2020-02-18 10:30:00+09:00,219500.0,220000.0,219500.0,219500.0,219500.0,137
2020-02-18 10:35:00+09:00,219500.0,220000.0,219500.0,219500.0,219500.0,95
2020-02-18 10:40:00+09:00,220000.0,220000.0,219500.0,220000.0,220000.0,75
2020-02-18 10:45:00+09:00,219500.0,220000.0,219500.0,220000.0,220000.0,72
2020-02-18 10:50:00+09:00,220000.0,220000.0,219500.0,220000.0,220000.0,273
2020-02-18 10:55:00+09:00,219500.0,221000.0,219500.0,221000.0,221000.0,1296
2020-02-18 11:00:00+09:00,220500.0,221000.0,220000.0,220500.0,220500.0,717
