date,close,diff,open,high,low,volume,kdj_k,kdj_d,kdj_j,macd,macds,macdo,cci,sma5,sma10,sma20,ema5,ema10,ema20,wma5,wma10,wma20,D,U,rsi
2010-04-30,47550,550.0,48000,48200,47250,1662228,46.15384615384615,41.89996767879708,43.939156140296916,541.0921860600793,661.1918094614666,-120.09962340138736,10.19014095825942,47800.0,47535.0,47377.5,47551.98926562452,47545.83645930273,47164.66732970963,47570.0,47608.181818181816,47615.47619047619,0.0,550.0,5.375000000000003
2010-05-03,47000,-550.0,47000,47550,46800,980375,26.53061224489796,34.21528996184054,39.07722305106431,461.85230722695997,621.318608957126,-159.46630173016604,-13.579246047830438,47520.0,47520.0,47417.5,47367.99282710946,47446.56104508464,47148.693124196696,47303.333333333336,47510.90909090909,47579.52380952381,-550.0,0.0,-3.1818181818181834
2010-05-04,47150,150.0,47000,48250,46550,1422410,42.10526315789473,38.16027655986943,38.61874980546666,406.0210074500428,578.2545092951588,-172.23350184511594,-8.216339799234458,47200.0,47525.0,47465.0,47295.32854702525,47392.62644353328,47148.81967874187,47180.0,47443.63636363636,47554.04761904762,0.0,150.0,-0.8400000000000001
2010-05-06,45400,-1750.0,46200,46300,44600,2542563,21.91780821917808,30.03904238952191,34.32889609749331,223.14001140830078,507.2255672436569,-284.0855558353561,-86.95033948313116,46820.0,47325.0,47435.0,46663.55233928955,47030.2515036199,46979.73883068136,46580.0,47057.27272727273,47357.380952380954,-1750.0,0.0,-0.208955223880597
2010-05-07,44300,-1100.0,43600,44750,43400,2420729,18.556701030927837,24.29787171022422,29.313383903858195,-7.388488859942299,404.29575098263626,-411.68423984257856,-131.00849848784264,46280.0,47040.0,47350.0,45875.70153841483,46533.75332968741,46721.027848508435,45740.0,46507.27272727273,47058.80952380953,-1100.0,0.0,-0.23333333333333336
2010-05-10,45200,900.0,43500,45450,43500,1773024,37.11340206185567,30.70563688604031,30.00951039494929,-118.25627324633388,299.77965573935893,-418.0359289856928,-102.44474157711335,45810.0,46805.0,47292.5,45650.467688252924,46291.217229168855,46574.374135624224,45380.0,46172.72727272727,46854.04761904762,0.0,900.0,-0.8888888888888892
2010-05-11,44200,-1000.0,46000,46000,44050,1841922,16.49484536082474,23.600241123432323,26.804875759190715,-281.17629272915656,183.58340498514593,-464.7596977143025,-96.86894986314068,45250.0,46385.0,47130.0,45166.97845307717,45910.95038132452,46345.712587390415,44843.333333333336,45699.09090909091,46559.52380952381,-1000.0,0.0,-0.3134328358208955
2010-05-12,43350,-850.0,44250,44850,43350,1691040,0.0,11.800120561715993,19.302498160453247,-471.52358417524374,52.55744156459202,-524.0810257398358,-123.58474347324142,44490.0,45845.0,46920.0,44561.31896390939,45445.27741741037,46057.52087086918,44210.0,45147.27272727273,46199.52380952381,-850.0,0.0,-0.2876712328767123
2010-05-13,45100,1750.0,43950,45500,43950,1253161,66.0377358490566,38.91892820538649,29.110713182919937,-479.06556824909785,-53.77012437809052,-425.2954438710073,-80.73425973580282,44430.0,45625.0,46725.0,44740.87931022336,45382.49467267415,45965.49468003047,44413.333333333336,45011.818181818184,46026.19047619047,0.0,1750.0,-1.2926829268292683
2010-05-14,44650,-450.0,45100,45100,44000,925127,49.056603773584904,43.987765989485716,36.54923958620285,-514.5623084917097,-145.93061644846537,-368.63169204324436,-87.59554830202867,44500.0,45390.0,46502.5,44710.58620670868,45249.305088118745,45839.1740417743,44486.666666666664,44834.545454545456,45828.57142857143,-450.0,0.0,-3.533333333333335
2010-05-17,43600,-1050.0,44400,44400,42650,2487915,28.35820895522388,36.172987472354784,36.36111352927882,-618.4511669403437,-240.4364125865846,-378.0147543537591,-123.3683896471987,44180.0,44995.0,46265.0,44340.39080360157,44949.41534399365,45624.32601677868,44186.666666666664,44509.09090909091,45552.142857142855,-1050.0,0.0,-3.785714285714285
2010-05-18,43400,-200.0,43700,44100,42950,1216742,26.31578947368421,31.24438847301949,33.80275100114915,-708.3870634624545,-334.027878543797,-374.35918491865755,-113.30521300699374,44020.0,44635.0,46077.5,44026.92720190944,44667.69109481279,45411.05441505966,43926.666666666664,44219.09090909091,45279.28571428572,-200.0,0.0,-0.9722222222222224
2010-05-19,43050,-350.0,42800,43150,42350,1381145,22.22222222222222,26.733305347620853,30.268028174385,-798.1406346619988,-426.8514896257153,-371.28914503628346,-124.02073243266207,43960.0,44225.0,45875.0,43701.28480093248,44373.55487572288,45184.818646034415,43603.333333333336,43930.90909090909,44990.95238095238,-350.0,0.0,-1.521739130434783
