Date,Adj Close,Close,High,Low,Open,Volume
2010-08-12,43806.125,46454.80078125,46822.6015625,46209.69921875,46332.30078125,668402
2010-08-13,43921.73046875,46577.3984375,46822.6015625,46087.1015625,46454.80078125,333420
2010-08-16,43112.6640625,45719.3984375,46577.3984375,45106.6015625,46577.3984375,824119
2010-08-17,43690.61328125,46332.30078125,46577.3984375,45719.3984375,46087.1015625,478220
2010-08-18,43575.00390625,46209.69921875,46822.6015625,45964.6015625,46332.30078125,696679
2010-08-19,42881.53125,45474.30078125,46209.69921875,45106.6015625,46209.69921875,1309327
2010-08-20,42997.046875,45596.80078125,45964.6015625,45106.6015625,45474.30078125,1898894
2010-08-23,42997.046875,45596.80078125,46087.1015625,45474.30078125,45842.0,793133
2010-08-24,44499.6875,47190.30078125,47190.30078125,44738.80078125,45842.0,1668625
2010-08-25,43806.125,46454.80078125,46945.1015625,46332.30078125,46822.6015625,452901
2010-08-26,44846.4296875,47558.0,47680.6015625,46700.0,46822.6015625,773398
2010-08-27,43921.73046875,46577.3984375,47558.0,46577.3984375,47558.0,362019
2010-08-30,44152.953125,46822.6015625,47312.80078125,46577.3984375,46700.0,315161
2010-08-31,45424.37890625,48170.8984375,48783.69921875,47312.80078125,48048.30078125,1367248
2010-09-01,44846.4296875,47558.0,48783.69921875,46822.6015625,48538.6015625,1001096
2010-09-02,43921.73046875,46577.3984375,48048.30078125,46209.69921875,47803.1015625,1039559
2010-09-03,44846.4296875,47558.0,47803.1015625,46822.6015625,46945.1015625,700090
2010-09-06,44268.46875,46945.1015625,47925.69921875,46822.6015625,47312.80078125,601695
2010-09-07,43921.73046875,46577.3984375,47435.3984375,46454.80078125,47312.80078125,352417
2010-09-08,45193.16015625,47925.69921875,48170.8984375,46577.3984375,46822.6015625,867669
2010-09-09,46002.2421875,48783.69921875,48783.69921875,47190.30078125,47925.69921875,960239
2010-09-10,46233.4609375,49028.8984375,49641.69921875,48170.8984375,48538.6015625,1308984
2010-09-13,46117.85546875,48906.30078125,49641.69921875,48293.3984375,49028.8984375,575388
2010-09-14,45077.5546875,47803.1015625,48906.30078125,47312.80078125,48661.1015625,702831
2010-09-15,45193.16015625,47925.69921875,48293.3984375,47312.80078125,47803.1015625,578296
2010-09-16,44615.2109375,47312.80078125,48048.30078125,46945.1015625,47925.69921875,701946
2010-09-17,45539.8984375,48293.3984375,49028.8984375,47435.3984375,47680.6015625,893755
2010-09-20,45655.5078125,48416.0,49028.8984375,48048.30078125,48538.6015625,355121
2010-09-24,46580.203125,49396.6015625,49641.69921875,48538.6015625,48783.69921875,1162442
2010-09-27,48429.484375,51357.69921875,51480.30078125,49028.8984375,49519.1015625,1099977
2010-09-28,48891.83203125,51848.0,52460.8984375,50990.0,50990.0,1106964
2010-09-29,47042.54296875,49886.8984375,51848.0,49886.8984375,51602.8984375,889284
2010-09-30,45308.7734375,48048.30078125,50132.0,47558.0,49641.69921875,1546893
2010-10-01,46348.9765625,49151.3984375,49519.1015625,48293.3984375,48538.6015625,1260270
2010-10-04,47851.625,50744.8984375,51112.6015625,49151.3984375,49519.1015625,942726
2010-10-05,49469.78515625,52460.8984375,52460.8984375,50622.30078125,51235.19921875,1156319
2010-10-06,49585.39453125,52583.5,52583.5,51602.8984375,52338.30078125,857495
2010-10-07,49585.39453125,52583.5,52583.5,52093.19921875,52093.19921875,415984
2010-10-08,49007.4375,51970.6015625,52706.0,50990.0,52583.5,716146
2010-10-11,49469.78515625,52460.8984375,53686.6015625,52093.19921875,52706.0,599614
2010-10-12,49354.171875,52338.30078125,52951.19921875,50744.8984375,52706.0,607561
