Date,Adj Close,Close,High,Low,Open,Volume
2010-08-12,8.081124305725098,15320.0,15540.0,15300.0,15360.0,21360650
2010-08-13,8.239374160766602,15620.0,15640.0,15340.0,15400.0,14274900
2010-08-16,8.249922752380371,15640.0,15660.0,15340.0,15460.0,10280000
2010-08-17,8.249922752380371,15640.0,15660.0,15420.0,15540.0,14476450
2010-08-18,8.207725524902344,15560.0,15700.0,15480.0,15680.0,11715900
2010-08-19,8.323771476745605,15780.0,15780.0,15540.0,15580.0,12179900
2010-08-20,8.271021842956543,15680.0,15720.0,15540.0,15600.0,12330600
2010-08-23,8.334321975708008,15800.0,15820.0,15640.0,15720.0,9081550
2010-08-24,8.260473251342773,15660.0,15720.0,15500.0,15700.0,11365400
2010-08-25,8.144425392150879,15440.0,15560.0,15440.0,15520.0,9263250
2010-08-26,8.154974937438965,15460.0,15660.0,15400.0,15440.0,10440100
2010-08-27,8.081124305725098,15320.0,15440.0,15300.0,15300.0,12748200
2010-08-30,8.186623573303223,15520.0,15560.0,15440.0,15500.0,6984450
2010-08-31,7.975630283355713,15120.0,15440.0,15120.0,15320.0,22051950
2010-09-01,7.933430194854736,15040.0,15260.0,15000.0,15240.0,19451700
2010-09-02,8.007278442382812,15180.0,15240.0,14980.0,15200.0,18271500
2010-09-03,8.028377532958984,15220.0,15280.0,15120.0,15220.0,22082500
2010-09-06,8.228821754455566,15600.0,15600.0,15360.0,15440.0,19708650
2010-09-07,8.31322193145752,15760.0,15800.0,15500.0,15660.0,16036000
2010-09-08,8.133874893188477,15420.0,15620.0,15420.0,15520.0,10954600
2010-09-09,7.975630283355713,15120.0,15480.0,15120.0,15340.0,30825400
2010-09-10,8.081124305725098,15320.0,15440.0,15140.0,15200.0,13989000
2010-09-13,8.123324394226074,15400.0,15520.0,15320.0,15400.0,11741050
2010-09-14,8.017829895019531,15200.0,15620.0,15200.0,15500.0,18559950
2010-09-15,7.986177921295166,15140.0,15340.0,15020.0,15260.0,19441850
2010-09-16,7.986177921295166,15140.0,15260.0,15080.0,15080.0,11734100
2010-09-17,8.154974937438965,15460.0,15560.0,15160.0,15240.0,22369300
2010-09-20,8.228821754455566,15600.0,15600.0,15400.0,15480.0,14807550
2010-09-24,8.038928031921387,15240.0,15600.0,15160.0,15580.0,32766800
2010-09-27,7.965079307556152,15100.0,15360.0,15040.0,15300.0,25107150
2010-09-28,7.859581470489502,14900.0,15120.0,14900.0,15100.0,23315700
2010-09-29,8.144425392150879,15440.0,15500.0,15000.0,15060.0,35348050
2010-09-30,8.197175025939941,15540.0,15580.0,15340.0,15440.0,16855500
2010-10-01,8.197175025939941,15540.0,15560.0,15380.0,15440.0,14805750
2010-10-04,8.228821754455566,15600.0,15620.0,15480.0,15600.0,12835350
2010-10-05,8.154974937438965,15460.0,15580.0,15420.0,15440.0,14300150
2010-10-06,8.36596965789795,15860.0,15880.0,15520.0,15560.0,23555150
2010-10-07,8.123324394226074,15400.0,15660.0,15380.0,15580.0,25542150
2010-10-08,7.996727466583252,15160.0,15320.0,15060.0,15260.0,27125750
2010-10-11,7.943980693817139,15060.0,15260.0,15060.0,15240.0,18784450
2010-10-12,7.8701300621032715,14920.0,15120.0,14920.0,15040.0,18391350
2010-10-13,7.849031448364258,14880.0,15040.0,14860.0,15040.0,20414700
2010-10-14,7.912331581115723,15000.0,15060.0,14840.0,15060.0,26710000
