Date,ICI,ESI,MDS,CO,EIPR,KOSPI,LSIRD
2010. 06,0.7,116.3,109.5,8285.8,98.1,1690.2,2.42
2010. 07,-2.3,115.6,110.2,8675.4,98.1,1690.4,2.35
2010. 08,-4.4,114.7,111.9,7367.6,97.3,1728.4,2.22
2010. 09,-6.2,114.3,112.9,7479.6,96.1,1769.7,1.96
2010. 10,-7.2,113.2,111.8,6082.7,94.5,1822.6,1.68
2010. 11,-7.9,113.1,110.8,6496.7,93.3,1876.7,1.57
2010. 12,-7.8,112.2,109.1,6195.1,91.9,1939,1.53
2011. 01,-2.9,112,112.1,6803,90.6,2006.3,1.61
2011. 02,1.4,111.9,112.8,6613.1,89.6,2032.3,1.61
2011. 03,4.2,111.2,113.3,6579.1,88.8,2032.4,1.5
2011. 04,1.4,111.8,111.2,6831.5,87.8,2052.9,1.32
2011. 05,-1.9,111.2,112.1,7041.9,87.2,2092.6,1.08
2011. 06,-4.7,110.7,113.1,7434.9,86.5,2116.5,0.92
2011. 07,-6,108.6,115,6959.5,86.2,2115.5,0.79
2011. 08,-6.6,106.7,115.3,7719.3,86,2031.4,0.64
2011. 09,-6.3,105.8,115.4,7393,85.8,1936.8,0.5
2011. 10,-6.9,104.4,114.9,7997.7,85.8,1828.8,0.38
2011. 11,-9,103.6,113.3,7530,85.3,1825.2,0.31
2011. 12,-11.6,101.4,111.2,7720.8,85,1849.3,0.29
2012. 01,-13.5,100.3,113.6,8148.3,84.5,1871,0.25
2012. 02,-12.2,100.6,116.9,9397.3,84.2,1919.1,0.26
2012. 03,-11.4,102.8,117.6,8845.2,83.7,1972.5,0.33
2012. 04,-9.3,105.9,115.8,8361.8,83.6,2007.5,0.38
2012. 05,-8.2,106.2,111.7,6869.2,84,1968.6,0.35
2012. 06,-5.1,104.2,110.2,7699.6,85.3,1910.3,0.26
2012. 07,-3.3,99.4,107.8,7725.3,86.1,1853.9,0.14
2012. 08,-4.2,95.5,105.6,7512,86.2,1864.8,0.04
2012. 09,-3.8,92.9,103.5,6499.9,85.4,1902.3,-0.04
2012. 10,-3.1,91.2,102.4,5980.7,85.1,1940.8,-0.04
2012. 11,-0.7,89.7,102.1,5996,85.4,1936.1,0.02
2012. 12,-0.3,88.9,102.7,5878.1,85.9,1940.2,0.13
2013. 01,-2.2,90,101.1,5518.7,86.2,1954.9,0.15
2013. 02,-4.3,92,100,5367.6,86.4,1979.9,0.14
2013. 03,-5.6,94.7,98.8,5384.6,86.9,1985.4,0.04
2013. 04,-4.9,96,98,5620.6,87.3,1969.7,-0.03
2013. 05,-4,96.4,97.5,5612.2,88,1967.9,-0.01
2013. 06,-3.7,95.7,99.6,5708.8,88.6,1932.6,0.2
2013. 07,-4.9,94.9,100.1,5882.1,88.9,1910.2,0.47
2013. 08,-3,94.2,100.6,5712.6,88.6,1884.4,0.68
2013. 09,-5,94.1,98.9,6008.1,88.2,1917.7,0.71
2013. 10,-5.1,94.8,100,6492.8,87.9,1970.4,0.67
2013. 11,-7.6,95.7,100.8,7149.6,88,2008,0.66
2013. 12,-5.8,96.3,102,7305.8,87.8,2009.3,0.71
2014. 01,-4,97.3,101.4,7302.1,87.7,1982.1,0.77
2014. 02,-2.9,99,101,7257.5,87.5,1958.1,0.74
2014. 03,-2.6,100.1,100.2,6479.8,87.6,1946.1,0.71
2014. 04,-4,100.9,99.7,6610.7,87.5,1960.4,0.68
2014. 05,-5.2,100.2,99.8,6487.7,87.5,1979.2,0.65
2014. 06,-6.4,98.9,99.7,7516,87.5,1993.5,0.59
2014. 07,-5.7,96.3,100.3,7330.5,87.7,2003.7,0.45
2014. 08,-5.8,95.1,99.8,8441.6,88.3,2026,0.4
2014. 09,-4.8,96.2,100,8620.6,89.1,2041.9,0.38
2014. 10,-5.3,96.3,99.4,8772.4,90.2,2015.5,0.4
2014. 11,-3.2,96.2,101.3,7480.8,91.7,1981.7,0.38
2014. 12,-1,94.7,100.4,6944.7,93.7,1948.1,0.35
2015. 01,0.4,95.5,100,7985.4,96.3,1940.9,0.29
2015. 02,-0.1,97.5,99.2,8138.9,97.8,1941.3,0.22
2015. 03,-2.1,99.2,99.3,9782.2,98.6,1964.9,0.15
2015. 04,-2.5,101.1,100.6,9381.2,98.5,2027,0.14
2015. 05,-3,100.8,99.1,11769.7,98.8,2078.3,0.22
2015. 06,-4.3,97.3,99.4,11639.6,99.2,2095.3,0.32
2015. 07,-5.5,94.3,99,11555.6,99.6,2078.9,0.47
2015. 08,-6.2,92.4,102,10514.8,100.5,2024.8,0.5
2015. 09,-4.9,94.2,103,13369.6,101.1,1983.4,0.47
2015. 10,-2.9,94.8,102.9,13764.5,101.1,1970.9,0.38
2015. 11,-2.6,94.8,101.1,14810.8,101,1989,0.38
2015. 12,-3.8,93.8,99.2,10811,101.4,1999.6,0.39
2016. 01,-6.8,92.6,96.3,11194.1,102.7,1957.7,0.39
2016. 02,-8.5,90.9,93.7,10478.8,103.5,1922.3,0.27
2016. 03,-8.2,91.1,94,11461.9,103.4,1923.9,0.17
2016. 04,-6.7,92.3,94.8,11614.1,102.3,1957.8,0.1
2016. 05,-3.7,93.2,97.3,11384.9,101.1,1979.8,0.09
2016. 06,-1.5,93.5,97.8,11383.1,100.2,1980,0.09
2016. 07,0.8,93.2,99.5,12010.3,99.9,1982.1,0.07
2016. 08,1.1,94.3,100.1,13324.4,99.9,2005.4,0.06
2016. 09,1,95.3,102.2,13695.3,100.3,2027.3,0.05
2016. 10,0,95.4,104.6,14041.2,100.2,2038.4,0.11
2016. 11,1.6,94.5,106.9,13307.9,100.5,2020.1,0.27
2016. 12,3.9,93.3,110,12896.1,100.2,2013.2,0.45
2017. 01,7.8,93.3,112.5,11875.7,100,2021.7,0.58
2017. 02,8.9,94.1,113,12388.2,99.6,2055.4,0.62
2017. 03,9.2,96.4,112.7,11149.6,99.7,2093.6,0.63
2017. 04,7,97.8,112.3,12357.3,100.3,2126.4,0.65
2017. 05,4.3,98.9,113.3,11866,100.8,2199.4,0.66
2017. 06,2.1,98.8,114.7,13254.9,101.3,2278.1,0.64
2017. 07,1,98.6,115.2,11340.8,101.9,2362.3,0.67
2017. 08,1.5,98.4,115.6,11706.2,102.1,2385.8,0.69
2017. 09,1.8,98,113.8,11517.6,101.8,2385.6,0.73
