asset,close
10000000.0,849000
9780000.0,829000
9780000.0,834000
9560000.0,814000
9560000.0,794000
9668000.0,803000
9668000.0,791000
9668000.0,789000
9956000.0,813000
9956000.0,810000
9956000.0,784000
10052000.0,792000
10052000.0,773000
10052000.0,756000
10052000.0,758000
10052000.0,741000
10169000.0,750000
10169000.0,772000
10247000.0,778000
10247000.0,776000
10247000.0,768000
10364000.0,777000
10364000.0,793000
10286000.0,787000
10286000.0,785000
10286000.0,770000
10325000.0,773000
10325000.0,797000
10445000.0,807000
10445000.0,798000
10718000.0,819000
10718000.0,817000
10783000.0,822000
10783000.0,830000
10783000.0,816000
10783000.0,805000
10978000.0,820000
10978000.0,805000
10978000.0,796000
10978000.0,792000
10978000.0,774000
10978000.0,766000
10992000.0,767000
10992000.0,767000
11104000.0,775000
11104000.0,769000
11188000.0,775000
11188000.0,796000
11272000.0,802000
11272000.0,796000
11664000.0,824000
11664000.0,820000
11664000.0,802000
11664000.0,795000
11706000.0,798000
11706000.0,817000
11706000.0,808000
11706000.0,811000
11706000.0,818000
11860000.0,829000
11860000.0,837000
11860000.0,827000
11860000.0,810000
11860000.0,810000
11930000.0,815000
11930000.0,806000
11902000.0,804000
11902000.0,801000
11916000.0,802000
11916000.0,793000
11916000.0,779000
11916000.0,766000
11916000.0,781000
11931000.0,782000
11931000.0,782000
11931000.0,778000
12096000.0,789000
12096000.0,784000
12096000.0,790000
12096000.0,783000
11931000.0,772000
11931000.0,773000
11931000.0,766000
12081000.0,776000
12081000.0,756000
12081000.0,752000
12193000.0,759000
12193000.0,761000
12497000.0,780000
12497000.0,788000
12497000.0,771000
12497000.0,756000
12657000.0,766000
12657000.0,770000
12497000.0,760000
12497000.0,757000
12497000.0,757000
12497000.0,773000
12609000.0,780000
12609000.0,762000
12497000.0,755000
12497000.0,745000
12929000.0,772000
12929000.0,777000
12929000.0,777000
12977000.0,780000
12977000.0,773000
13297000.0,793000
12929000.0,770000
12929000.0,758000
12844000.0,753000
12844000.0,746000
12810000.0,744000
12810000.0,750000
12878000.0,754000
12878000.0,751000
12878000.0,741000
12946000.0,745000
12946000.0,765000
13138000.0,777000
13138000.0,771000
13138000.0,763000
13138000.0,753000
13325000.0,764000
13325000.0,745000
13325000.0,747000
13325000.0,740000
13325000.0,740000
13325000.0,763000
13546000.0,776000
13546000.0,778000
13546000.0,774000
13818000.0,790000
13818000.0,767000
14016000.0,778000
14016000.0,808000
14067000.0,811000
14067000.0,795000
14067000.0,799000
14390000.0,818000
14390000.0,848000
14262000.0,840000
14262000.0,851000
14166000.0,845000
14166000.0,837000
14150000.0,836000
14150000.0,826000
14150000.0,820000
14813000.0,859000
14813000.0,894000
14813000.0,890000
14813000.0,901000
14813000.0,888000
15277000.0,917000
15277000.0,919000
15277000.0,930000
15277000.0,929000
15277000.0,916000
15197000.0,911000
15197000.0,926000
15197000.0,932000
15197000.0,936000
15245000.0,939000
15245000.0,936000
15069000.0,925000
15069000.0,922000
15325000.0,938000
15325000.0,945000
15389000.0,949000
15389000.0,958000
15389000.0,958000
15389000.0,942000
15197000.0,930000
15197000.0,921000
15133000.0,917000
15133000.0,913000
15405000.0,930000
15405000.0,922000
15405000.0,933000
15661000.0,949000
15661000.0,969000
16109000.0,997000
16109000.0,982000
16109000.0,971000
16109000.0,971000
16109000.0,975000
16109000.0,998000
16109000.0,994000
16365000.0,1010000
16365000.0,981000
16397000.0,983000
16397000.0,972000
16221000.0,961000
16221000.0,960000
16221000.0,936000
16221000.0,915000
16867000.0,953000
16867000.0,958000
16867000.0,945000
17020000.0,954000
17020000.0,960000
16816000.0,948000
16816000.0,938000
16680000.0,930000
16680000.0,929000
16629000.0,926000
16629000.0,923000
16629000.0,918000
16629000.0,923000
17025000.0,945000
17025000.0,906000
17025000.0,899000
16863000.0,890000
16863000.0,866000
16787000.0,862000
16787000.0,900000
16787000.0,860000
16787000.0,886000
16859000.0,890000
16859000.0,891000
16841000.0,890000
16841000.0,875000
16841000.0,873000
16974000.0,880000
16974000.0,910000
17082000.0,916000
17082000.0,916000
17262000.0,926000
17262000.0,932000
17262000.0,940000
17352000.0,945000
17352000.0,945000
17352000.0,923000
17352000.0,909000
17352000.0,898000
17352000.0,894000
17352000.0,882000
17713000.0,901000
17713000.0,900000
17713000.0,888000
17713000.0,867000
17873000.0,875000
17873000.0,916000
18101000.0,928000
18101000.0,904000
18101000.0,889000
18261000.0,897000
18261000.0,924000
18261000.0,900000
18261000.0,893000
19041000.0,932000
19041000.0,938000
19041000.0,915000
19041000.0,899000
19041000.0,891000
19041000.0,892000
19041000.0,885000
19692000.0,916000
19692000.0,901000
19692000.0,890000
19758000.0,893000
19758000.0,880000
19802000.0,882000
19802000.0,873000
19802000.0,865000
19802000.0,856000
20331000.0,879000
20331000.0,891000
20331000.0,884000
20331000.0,902000
20529000.0,911000
20529000.0,883000
20575000.0,885000
20575000.0,887000
20575000.0,877000
20575000.0,865000
20253000.0,851000
20253000.0,853000
20483000.0,863000
20483000.0,865000
20483000.0,848000
20483000.0,819000
20483000.0,800000
20833000.0,814000
21133000.0,826000
21133000.0,831000
21658000.0,852000
21658000.0,835000
21583000.0,832000
21583000.0,833000
21583000.0,826000
21583000.0,855000
22158000.0,878000
22158000.0,899000
22134000.0,898000
22134000.0,880000
22134000.0,885000
21634000.0,865000
21634000.0,850000
21459000.0,843000
21459000.0,831000
21484000.0,832000
21484000.0,813000
21718000.0,822000
21718000.0,851000
21493000.0,842000
21493000.0,850000
21493000.0,847000
21493000.0,850000
21493000.0,845000
21493000.0,837000
21668000.0,844000
21668000.0,870000
21236000.0,852000
21236000.0,833000
21236000.0,821000
21236000.0,789000
21236000.0,760000
21236000.0,724000
21236000.0,720000
21236000.0,708000
21236000.0,707000
22526000.0,750000
22526000.0,752000
21279000.0,709000
20438000.0,680000
20768000.0,691000
20768000.0,723000
20768000.0,708000
20768000.0,725000
20768000.0,726000
